FILTER_CODE,GENE_SYMBOL
ONCOG,ACVR1
ONCOG,AKT1
ONCOG,BRAF
ONCOG,CD79B
ONCOG,CDH1
ONCOG,CDK4
ONCOG,CHD4
ONCOG,CNBD1
ONCOG,COL5A1
ONCOG,CTNNB1
ONCOG,CUL1
ONCOG,CYSLTR2
ONCOG,DACH1
ONCOG,DMD
ONCOG,EEF1A1
ONCOG,EGFR
ONCOG,EIF1AX
ONCOG,EP300
ONCOG,EPAS1
ONCOG,ERBB2
ONCOG,ERBB3
ONCOG,ERBB4
ONCOG,ERCC2
ONCOG,FAM46D
ONCOG,FBXW7
ONCOG,FGFR2
ONCOG,FGFR3
ONCOG,FLT3
ONCOG,FOXA1
ONCOG,GNA11
ONCOG,GNA13
ONCOG,GNAQ
ONCOG,GNAS
ONCOG,GTF2I
ONCOG,HRAS
ONCOG,IDH1
ONCOG,IDH2
ONCOG,KEAP1
ONCOG,KIT
ONCOG,KLF5
ONCOG,KRAS
ONCOG,MAP2K1
ONCOG,MAPK1
ONCOG,MAX
ONCOG,MED12
ONCOG,MET
ONCOG,MTOR
ONCOG,MYC
ONCOG,MYCN
ONCOG,MYD88
ONCOG,MYH9
ONCOG,NFE2L2
ONCOG,NPM1
ONCOG,NRAS
ONCOG,PCBP1
ONCOG,PIK3CA
ONCOG,PIK3R2
ONCOG,PIM1
ONCOG,PLCB4
ONCOG,PLCG1
ONCOG,POLRMT
ONCOG,PPP2R1A
ONCOG,PPP6C
ONCOG,PTPDC1
ONCOG,PTPN11
ONCOG,RAC1
ONCOG,RET
ONCOG,RHOA
ONCOG,RHOB
ONCOG,RQCD1
ONCOG,RRAS2
ONCOG,RXRA
ONCOG,SF1
ONCOG,SF3B1
ONCOG,SMAD4
ONCOG,SMC1A
ONCOG,SOS1
ONCOG,SPOP
ONCOG,TAF1
ONCOG,U2AF1
ONCOG,WHSC1
ONCOG,XPO1
ONCOG,ZCCHC12
ONCOG,ZNF133
TSG,ACVR2A
TSG,AJUBA
TSG,APC
TSG,ARHGAP35
TSG,ARID1A
TSG,ARID2
TSG,ASXL1
TSG,ATF7IP
TSG,ATM
TSG,ATRX
TSG,AXIN1
TSG,BAP1
TSG,BCOR
TSG,BRCA1
TSG,BRD7
TSG,CASP8
TSG,CDH1
TSG,CDK12
TSG,CDKN1A
TSG,CDKN2A
TSG,CHD8
TSG,CREBBP
TSG,CSDE1
TSG,CTCF
TSG,CTNND1
TSG,CUL3
TSG,DDX3X
TSG,DNMT3A
TSG,EEF2
TSG,EP300
TSG,EPHA2
TSG,FAT1
TSG,FBXW7
TSG,FLNA
TSG,FUBP1
TSG,GPS2
TSG,HLA-A
TSG,HLA-B
TSG,IRF2
TSG,JAK1
TSG,KANSL1
TSG,KDM5C
TSG,KDM6A
TSG,KIF1A
TSG,KMT2A
TSG,KMT2B
TSG,KMT2C
TSG,KMT2D
TSG,LATS1
TSG,LATS2
TSG,MAP2K4
TSG,MAP3K1
TSG,MEN1
TSG,MGA
TSG,MSH6
TSG,NCOR1
TSG,NF1
TSG,NF2
TSG,NIPBL
TSG,NOTCH1
TSG,NSD1
TSG,PBRM1
TSG,PDS5B
TSG,PIK3R1
TSG,PRKAR1A
TSG,PSIP1
TSG,PTCH1
TSG,PTEN
TSG,RASA1
TSG,RB1
TSG,RBM10
TSG,RNF111
TSG,RNF43
TSG,RPL5
TSG,RPS6KA3
TSG,RUNX1
TSG,SCAF4
TSG,SETD2
TSG,SIN3A
TSG,SMAD4
TSG,SMARCA1
TSG,SOX9
TSG,SPTAN1
TSG,STAG2
TSG,STK11
TSG,TCF12
TSG,TCF7L2
TSG,TGFBR2
TSG,THRAP3
TSG,TNFAIP3
TSG,TP53
TSG,TRAF3
TSG,TSC1
TSG,TSC2
TSG,USP9X
TSG,VHL
TSG,ZBTB7B
TSG,ZMYM2
TSG,ZMYM3
