CODE,NAME,SOURCE_TYPE,DESCRIPTION
REVEL,REVEL,VEP,REVEL
GMVP,gMVP,VEP,gMVP
VAR_R,VARITY_R,VEP,VARITY_R
VAR_ER,VARITY_ER,VEP,VARITY_ER
VAR_RL,VARITY_R_LOO,VEP,VARITY_R_LOO
VAR_ERL,VARITY_ER_LOO,VEP,VARITY_ER_LOO
ESM1B,ESM1b,VEP,ESM1b
EVE,EVE,VEP,EVE
ALPHAM,AlphaMissense,VEP,AlphaMissense
SIFT,SIFT_converted,VEP,SIFT_converted
SIFT4G,SIFT4G_converted,VEP,SIFT4G_converted
POLYP2HDIV,Polyphen2_HDIV,VEP,Polyphen2_HDIV
POLYP2HVAR,Polyphen2_HVAR,VEP,Polyphen2_HVAR
LRT,LRT_converted,VEP,LRT_converted
MUTTASTE,MutationTaster_converted,VEP,MutationTaster_converted
MUTASSESS,MutationAssessor,VEP,MutationAssessor
FATHMM,FATHMM_converted,VEP,FATHMM_converted
PROVEAN,PROVEAN_converted,VEP,PROVEAN_converted
VEST4,VEST4,VEP,VEST4
METASVM,MetaSVM,VEP,MetaSVM
METALR,MetaLR,VEP,MetaLR
METARNN,MetaRNN,VEP,MetaRNN
MCAP,M_CAP,VEP,M_CAP
MUTPRED,MutPred,VEP,MutPred
MVP,MVP,VEP,MVP
MPC,MPC,VEP,MPC
PRIMAI,PrimateAI,VEP,PrimateAI
DEOGEN2,DEOGEN2,VEP,DEOGEN2
BAYESDAAF,BayesDel_addAF,VEP,BayesDel_addAF
BAYESDNAF,BayesDel_noAF,VEP,BayesDel_noAF
CLINPRED,ClinPred,VEP,ClinPred
LISTS2,LIST_S2,VEP,LIST_S2
CADD,CADD_raw,VEP,CADD_raw
DANN,DANN,VEP,DANN
FATHMMMLK,fathmm_MKL_coding,VEP,fathmm_MKL_coding
FATHMMXF,fathmm_XF_coding,VEP,fathmm_XF_coding
EIGEN,Eigen_raw_coding,VEP,Eigen_raw_coding
EIGENPC,Eigen_PC_raw_coding,VEP,Eigen_PC_raw_coding
GENCANYON,GenoCanyon,VEP,GenoCanyon
INTFITCONS,Integrated_fitCons,VEP,Integrated_fitCons
GM12878FC,GM12878_fitCons,VEP,GM12878_fitCons
H1HESCFC,H1_hESC_fitCons,VEP,H1_hESC_fitCons
HUVECFC,HUVEC_fitCons,VEP,HUVEC_fitCons
LINSIGHT,LINSIGHT,VEP,LINSIGHT
GERPRS,GERP_RS,VEP,GERP_RS
PHP100VERT,phyloP100way_vertebrate,VEP,phyloP100way_vertebrate
PHP470MAM,phyloP470way_mammalian,VEP,phyloP470way_mammalian
PHP17PRI,phyloP17way_primate,VEP,phyloP17way_primate
PHC100VERT,phastCons100way_vertebrate,VEP,phastCons100way_vertebrate
PHC470MAM,phastCons470way_mammalian,VEP,phastCons470way_mammalian
PHC17PRI,phastCons17way_primate,VEP,phastCons17way_primate
SIPHY29LO,SiPhy_29way_logOdds,VEP,SiPhy_29way_logOdds
BSTAT,bStatistic_converted,VEP,bStatistic_converted
